step,error,relay_state
0.0,0.13962634689801146,-0.04
1.0,0.13962631738572265,-0.04
2.0,0.1396144277616174,-0.04
3.0,0.13959063375815087,-0.04
4.0,0.1395546697638162,-0.04
5.0,0.13949489054408362,-0.04
6.0,0.1394108368276315,-0.04
7.0,0.13930032750157498,-0.04
8.0,0.13915717516609913,-0.04
9.0,0.1389783179719809,-0.04
10.0,0.13875773082163986,-0.04
11.0,0.13849617460868793,-0.04
12.0,0.13818727822601778,-0.04
13.0,0.1378304413841619,-0.04
14.0,0.13742646435253805,-0.04
15.0,0.1369629490178024,-0.04
16.0,0.13643965096207364,-0.04
17.0,0.13585700921424415,-0.04
18.0,0.1352150745444045,-0.04
19.0,0.13451370175484212,-0.04
20.0,0.13374126131031053,-0.04
21.0,0.13290928087726506,-0.04
22.0,0.1320060499095175,-0.04
23.0,0.13103166517695056,-0.04
24.0,0.129985358510304,-0.04
25.0,0.12887979515919773,-0.04
26.0,0.12770296012723867,-0.04
27.0,0.12645523753493082,-0.04
28.0,0.12513596077132755,-0.04
29.0,0.12374548281983108,-0.04
30.0,0.12228378620242875,-0.04
31.0,0.12073877942648208,-0.04
32.0,0.11912253832475095,-0.04
33.0,0.11743484263836115,-0.04
34.0,0.11567598878440401,-0.04
35.0,0.11383404938352859,-0.04
36.0,0.11192104378096202,-0.04
37.0,0.10993663435965843,-0.04
38.0,0.10786899883293233,-0.04
39.0,0.10573034541710702,-0.04
40.0,0.10352026852008306,-0.04
41.0,0.1012270229808744,-0.04
42.0,0.09886242789080713,-0.04
43.0,0.09641487792063966,-0.04
44.0,0.09389599256463765,-0.04
45.0,0.09130576610237953,-0.04
46.0,0.08863263218843039,-0.04
47.0,0.08588813661952942,-0.04
48.0,0.08306046087105803,-0.04
49.0,0.08016139112993104,-0.04
50.0,0.07717935603827848,-0.04
51.0,0.07412611952141782,-0.04
52.0,0.07098971974464874,-0.04
53.0,0.06778190794768901,-0.04
54.0,0.064491085719984,-0.04
55.0,0.061129315062497525,-0.04
56.0,0.05768438512393939,-0.04
57.0,0.05416821742382147,-0.04
58.0,0.05056888035034654,-0.04
59.0,0.046898539206600656,-0.04
60.0,0.04314514261705246,-0.04
61.0,0.03932056924621705,-0.04
62.0,0.03541298580502624,-0.04
63.0,0.03143433388968037,-0.04
64.0,0.02737259995717546,-0.04
65.0,0.023239683989664684,-0.04
66.0,0.019023768254349954,-0.04
67.0,0.014736812084103455,-0.04
68.0,0.010366867852203974,-0.04
69.0,0.005925799450266263,-0.04
70.0,0.0014017752637323856,-0.04
71.0,-0.0031933128186795658,-0.04
72.0,-0.007871332660285515,-0.04
73.0,-0.01262039972687844,-0.04
74.0,-0.017452373913660852,-0.04
75.0,-0.022355362412613673,0.04
76.0,-0.027305656087698273,0.04
77.0,-0.03226736181994979,0.04
78.0,-0.03721691601204043,0.04
79.0,-0.04215436152554104,0.04
80.0,-0.047055945777225806,0.04
81.0,-0.051921742153422296,0.04
82.0,-0.05673991855965276,0.04
83.0,-0.06151052868851777,0.04
84.0,-0.06622167412929289,0.04
85.0,-0.07087332413600139,0.04
86.0,-0.07546548105577476,0.04
87.0,-0.07999648757879338,0.04
88.0,-0.08445782772838341,0.04
89.0,-0.08884830174071598,0.04
90.0,-0.09317903440675909,0.04
91.0,-0.09743806120331006,0.04
92.0,-0.10162591541324202,0.04
93.0,-0.10574209323989987,0.04
94.0,-0.1097871841076418,0.04
95.0,-0.11376055140812578,0.04
96.0,-0.11765076571270865,0.04
97.0,-0.12146927810370847,0.04
98.0,-0.1252162437793019,0.04
99.0,-0.12887988089630706,0.04
100.0,-0.13247173859260433,0.04
101.0,-0.135992256261422,0.04
102.0,-0.13944102024704816,0.04
103.0,-0.14280601701667733,0.04
104.0,-0.14609941050109512,0.04
105.0,-0.1493208235434241,0.04
106.0,-0.15245846270124883,0.04
107.0,-0.15552458575150968,0.04
108.0,-0.1585192533652972,0.04
109.0,-0.16144150794003229,0.04
110.0,-0.16428014677197514,0.04
111.0,-0.1670467875270605,0.04
112.0,-0.1697414998714893,0.04
113.0,-0.1723637864617541,0.04
114.0,-0.17490204063670467,0.04
115.0,-0.17736859164576588,0.04
116.0,-0.1797628742138513,0.04
117.0,-0.18208446536784081,0.04
118.0,-0.18432168191093246,0.04
119.0,-0.1864862240292232,0.04
120.0,-0.1885778897765089,0.04
121.0,-0.19059632476815427,0.04
122.0,-0.1925418502887734,0.04
123.0,-0.1944138859115159,0.04
124.0,-0.19621234694559359,0.04
125.0,-0.19793696864930538,0.04
126.0,-0.1995878035148792,0.04
127.0,-0.20116416935026626,0.04
128.0,-0.20266603785935564,0.04
129.0,-0.20409273675056155,0.04
130.0,-0.20544360217816815,0.04
131.0,-0.20671850720812873,0.04
132.0,-0.2079166145556581,0.04
133.0,-0.20904806800289868,0.04
134.0,-0.21010134877288483,0.04
135.0,-0.21108603136785425,0.04
136.0,-0.2119904263596823,0.04
137.0,-0.21282384599272916,0.04
138.0,-0.2135846091456034,0.04
139.0,-0.21427105133390484,0.04
140.0,-0.21488002334435624,0.04
141.0,-0.21541913848451968,0.04
142.0,-0.21588453798687116,0.04
143.0,-0.21627306965981602,0.04
144.0,-0.2165948686330818,0.04
145.0,-0.2168398350800985,0.04
146.0,-0.2170151670836408,0.04
147.0,-0.21711616384037502,0.04
148.0,-0.2171445209412761,0.04
149.0,-0.21710072250222526,0.04
150.0,-0.21698379951163518,0.04
151.0,-0.21679612355962233,0.04
152.0,-0.2165325911693691,0.04
153.0,-0.21620042047414592,0.04
154.0,-0.21579684286708434,0.04
155.0,-0.21531638285339183,0.04
156.0,-0.21476808422754795,0.04
157.0,-0.21414676910767455,0.04
158.0,-0.2134537892964169,0.04
159.0,-0.21268168432150678,0.04
160.0,-0.2118403000799135,0.04
161.0,-0.21092161108494895,0.04
162.0,-0.20993567296006715,0.04
163.0,-0.20887417224184088,0.04
164.0,-0.20774653774319907,0.04
165.0,-0.20654491342776168,0.04
166.0,-0.2052689737648158,0.04
167.0,-0.2039186910927526,0.04
168.0,-0.20249488960367357,0.04
169.0,-0.20099777297963423,0.04
170.0,-0.19942794460204374,0.04
171.0,-0.19779519441758286,0.04
172.0,-0.19609043189128358,0.04
173.0,-0.1943134740437386,0.04
174.0,-0.19246447179892312,0.04
175.0,-0.19054388672179667,0.04
176.0,-0.1885516147176147,0.04
177.0,-0.18648784666632,0.04
178.0,-0.1843419507033239,0.04
179.0,-0.18212501196379952,0.04
180.0,-0.1798368200381214,0.04
181.0,-0.1774781139279385,0.04
182.0,-0.17504841774506602,0.04
183.0,-0.1725481077040572,0.04
184.0,-0.16997732838106752,0.04
185.0,-0.16733613402250624,0.04
186.0,-0.16462431050779897,0.04
187.0,-0.16184213141625786,0.04
188.0,-0.1589901062201397,0.04
189.0,-0.1560675270390027,0.04
190.0,-0.15307505759067927,0.04
191.0,-0.15000114087494068,0.04
192.0,-0.1468576599592005,0.04
193.0,-0.14364447842886208,0.04
194.0,-0.14036143014054117,0.04
195.0,-0.13700831120595158,0.04
196.0,-0.1335858482539723,0.04
197.0,-0.13009392370036338,0.04
198.0,-0.126532499880126,0.04
199.0,-0.12290159932770606,0.04
200.0,-0.11920124629003767,0.04
201.0,-0.1154314523597757,0.04
202.0,-0.11158135970206157,0.04
203.0,-0.10766191110491134,0.04
204.0,-0.10367317193350264,0.04
205.0,-0.09961528156102668,0.04
206.0,-0.09548835331062798,0.04
207.0,-0.09129241015619331,0.04
208.0,-0.08702748720724615,0.04
209.0,-0.08269368847390736,0.04
210.0,-0.07829107809307748,0.04
211.0,-0.07381968514517981,0.04
212.0,-0.06926845027257288,0.04
213.0,-0.06464849947119482,0.04
214.0,-0.05995993307071496,0.04
215.0,-0.05520281034714628,0.04
216.0,-0.050377187441056966,0.04
217.0,-0.045483172226404904,0.04
218.0,-0.04052082647120116,0.04
219.0,-0.03549026532638496,0.04
220.0,-0.030391403613118678,0.04
221.0,-0.025224399028990537,0.04
222.0,-0.019989297585280848,0.04
223.0,-0.014686157916880263,0.04
224.0,-0.009315061765506364,0.04
225.0,-0.003876071807412289,0.04
226.0,0.0016420178043568038,0.04
227.0,0.007227843880706961,0.04
228.0,0.012881333404932345,0.04
229.0,0.01860245460410325,0.04
230.0,0.024391011594553126,-0.04
231.0,0.03021235954587045,-0.04
232.0,0.036042097287472326,-0.04
233.0,0.04185751468890699,-0.04
234.0,0.04764429075589644,-0.04
235.0,0.05339593318677307,-0.04
236.0,0.05909959869623046,-0.04
237.0,0.06475449699248331,-0.04
238.0,0.07034934538289979,-0.04
239.0,0.0758839258305077,-0.04
240.0,0.0813580125657166,-0.04
241.0,0.08676036922695535,-0.04
242.0,0.0920907934356007,-0.04
243.0,0.0973491948453459,-0.04
244.0,0.10253619855028395,-0.04
245.0,0.10766290855547486,-0.04
246.0,0.11271679652032848,-0.04
247.0,0.11768675732345907,-0.04
248.0,0.12258384892378678,-0.04
249.0,0.127396982406001,-0.04
250.0,0.132126257421461,-0.04
251.0,0.13678248847273952,-0.04
252.0,0.1413544561685313,-0.04
253.0,0.14585326057150091,-0.04
254.0,0.15026772584689185,-0.04
255.0,0.1546090134429853,-0.04
256.0,0.1588656491020909,-0.04
257.0,0.16303774684000288,-0.04
258.0,0.16713597808939326,-0.04
259.0,0.17114959913421515,-0.04
260.0,0.17508967990365532,-0.04
261.0,0.1789448882980317,-0.04
262.0,0.1827258655961395,-0.04
263.0,0.18642138320042953,-0.04
264.0,0.19004285546370409,-0.04
265.0,0.19358975297407618,-0.04
266.0,0.19705098151488848,-0.04
267.0,0.20043726770523423,-0.04
268.0,0.20373798504944907,-0.04
269.0,0.20696332811019583,-0.04
270.0,0.2101126850555984,-0.04
271.0,0.2131867547608726,-0.04
272.0,0.21617399735802206,-0.04
273.0,0.21908497304732466,-0.04
274.0,0.22191964428224134,-0.04
275.0,0.2246773477096771,-0.04
276.0,0.22735783907678517,-0.04
277.0,0.22996041664796155,-0.04
278.0,0.23248559683455244,-0.04
279.0,0.23493166370566132,-0.04
280.0,0.2372993808677238,-0.04
281.0,0.2395971155531054,-0.04
282.0,0.24181531699922426,-0.04
283.0,0.24395332291590419,-0.04
284.0,0.24602058726708617,-0.04
285.0,0.24800581370106417,-0.04
286.0,0.2499189421181412,-0.04
287.0,0.251757920798294,-0.04
288.0,0.2535224838089544,-0.04
289.0,0.25521272132519357,-0.04
290.0,0.25682672789878586,-0.04
291.0,0.25836300943342483,-0.04
292.0,0.25982280865172114,-0.04
293.0,0.26121084570288094,-0.04
294.0,0.26252701480399143,-0.04
295.0,0.26376904557149067,-0.04
296.0,0.2649366105974659,-0.04
297.0,0.2660280316599538,-0.04
298.0,0.26704812624084573,-0.04
299.0,0.2679906562530218,-0.04
