method,loop,kp_tested,estimated_Ku,oscillation_detected,Tu_s,median_amplitude,max_abs_signal,rms_signal,final_abs_signal,zero_crossings,steps,crashed,truncated
ziegler-nichols,altitude,0.05,nan,False,nan,nan,4.640720009803772,1.7114718231111206,4.640720009803772,1,447,False,False
ziegler-nichols,altitude,0.06487883568635296,nan,False,nan,nan,4.611905068159103,1.6688947014907842,4.611905068159103,1,450,False,False
ziegler-nichols,altitude,0.08418526640033569,nan,False,nan,nan,4.6053206622600555,1.617194888522706,4.6053206622600555,1,454,False,False
ziegler-nichols,altitude,0.10923684131998462,nan,False,nan,nan,4.618613243103027,1.551522764592075,4.618613243103027,1,459,False,False
ziegler-nichols,altitude,0.14174318157790983,nan,False,nan,nan,4.576278209686279,1.454902703907485,4.576278209686279,1,464,False,False
ziegler-nichols,altitude,0.18392265174508207,nan,False,nan,nan,4.646475553512573,1.355472723306078,4.646475553512573,1,471,False,False
ziegler-nichols,altitude,0.23865375003134995,nan,False,nan,nan,4.62750768661499,1.225279062176601,4.62750768661499,1,477,False,False
ziegler-nichols,altitude,0.30967154868431807,nan,False,nan,nan,4.578413188457489,1.091567393553901,4.578413188457489,3,483,False,False
ziegler-nichols,altitude,0.40182259047656643,nan,False,nan,nan,4.586446851491928,1.007254931833723,4.586446851491928,2,487,False,False
ziegler-nichols,altitude,0.5213956364518769,nan,False,nan,nan,4.571650922298431,0.9864230199258542,4.571650922298431,2,485,False,False
ziegler-nichols,altitude,0.676550836498855,nan,False,nan,nan,4.5441504418849945,1.0209040788219053,4.5441504418849945,2,475,False,False
ziegler-nichols,altitude,0.8778766110934768,nan,False,nan,nan,4.567116856575012,1.1239088066367897,4.567116856575012,2,464,False,False
ziegler-nichols,altitude,1.1391122480805214,nan,False,nan,nan,4.642573535442352,1.3099501059089362,4.642573535442352,2,459,False,False
ziegler-nichols,altitude,1.478085527430565,nan,False,nan,nan,4.606161177158356,1.4964895549463118,4.606161177158356,1,461,False,False
ziegler-nichols,altitude,1.9179293612908799,nan,False,nan,nan,4.6203159391880035,1.600014696319481,4.6203159391880035,1,464,False,False
ziegler-nichols,altitude,2.4886604777844563,nan,False,nan,nan,4.648853451013565,1.6661387023919776,4.648853451013565,1,466,False,False
ziegler-nichols,altitude,3.2292278843459683,nan,False,nan,nan,4.6225060522556305,1.6847251587178282,4.6225060522556305,1,464,False,False
ziegler-nichols,altitude,4.190170906045426,nan,False,nan,nan,4.637524962425232,1.6840866648092954,4.637524962425232,1,457,False,False
ziegler-nichols,altitude,5.4370681942211565,nan,False,nan,nan,4.627167165279388,1.606707677221145,4.627167165279388,2,448,False,False
ziegler-nichols,altitude,7.055013079767405,nan,False,nan,nan,4.648460477590561,1.539017454005114,4.648460477590561,2,449,False,False
ziegler-nichols,altitude,9.15442068734601,nan,False,nan,nan,4.628638803958893,1.5061957709411307,4.628638803958893,2,458,False,False
ziegler-nichols,altitude,11.87856311156143,nan,False,nan,nan,4.629070192575455,1.5119136599215628,4.629070192575455,2,466,False,False
ziegler-nichols,altitude,15.413346886099353,nan,False,nan,nan,4.610231935977936,1.5229494433878856,4.610231935977936,2,472,False,False
ziegler-nichols,altitude,20.0,nan,False,nan,nan,4.627373933792114,1.5455031001188777,4.627373933792114,2,478,False,False
